domain,arch,fold,method,mc_active,BAcc,F1,AUC,ECE,dECE,SCE,Brier,BSS,NLL,Conf,Ent,MTP,MCE,OCE,CCC,AURC,EAURC,Risk@90,Risk@80
BRAINTUMOR,MobileNetV3,1,ISOTONIC,True,0.8934580119545246,0.8939147396518794,0.9794365681089838,0.020539574064871988,0.005812631766545846,0.015724398893302006,0.1572022495367423,0.7903970006176773,0.3395730079716276,0.9047921299934387,0.25805750489234924,0.8499760031700134,0.3068425570215498,0.7197108268737793,0.9271142482757568,0.026272114226141657,0.020222293776305363,0.06814580031695727,0.04456327985739752
BRAINTUMOR,MobileNetV3,1,DIRICHLET,True,0.9019960837167237,0.9024347844189242,0.9802392887242829,0.022791901530322227,0.004178041113738139,0.016858849357163055,0.1577904902793945,0.7896126796274743,0.2951712946565262,0.901668906211853,0.2624947428703308,0.8490482568740845,0.3087735573450724,0.7344139218330383,0.9200616478919983,0.024196217107846796,0.01908253109887331,0.07369255150554675,0.04723707664884135
BRAINTUMOR,MobileNetV3,1,APEX,True,0.9337883810882265,0.9339537365351468,0.9924725874236379,0.0354623783508886,0.02008510753462454,0.019935478148251,0.10092620305546313,0.8654317292593827,0.1921069749102802,0.9056821337295167,0.2484405862372108,0.8799200141442922,0.3082911959877918,0.6499228145571985,0.9240483491628229,0.007769292260744479,0.005449093315101594,0.03248811410459588,0.011586452762923352
BRAINTUMOR,MobileNetV3,1,ABL_no_gate,True,0.9344867051105729,0.9345868153777033,0.9926063269450832,0.03672423857661503,0.021439856028029433,0.02099963765323677,0.10096188588829488,0.8653841521489403,0.1919446782629112,0.9037128993777453,0.25493196971780635,0.878379644354337,0.3087710947098088,0.6476042541017711,0.9218946581645129,0.007633970369901771,0.005363182492475832,0.03248811410459588,0.0106951871657754
BRAINTUMOR,MobileNetV3,1,ABL_no_rbf,True,0.9372404086283583,0.9372969147917386,0.9925398808819319,0.03346617368511566,0.019209675307423298,0.020675854304378734,0.10044274872962047,0.8660763350271729,0.1911563345418865,0.9058603528810515,0.247263706209228,0.8805385148320296,0.28750523854872617,0.6517906364696576,0.9230690323031322,0.007639673646327331,0.005561093285175549,0.029318541996830427,0.0106951871657754
BRAINTUMOR,MobileNetV3,1,ABL_no_poly,True,0.9309515692585761,0.9310648768050532,0.9920023698733376,0.03684296366742083,0.020440726134985692,0.02128794492067023,0.10252162061592866,0.8633045058454286,0.19705709516691328,0.9052342218116411,0.2457898573986943,0.8790187199587177,0.23980197055277575,0.6459633495769215,0.9247043716039802,0.008079156866692456,0.005555864421945474,0.03169572107765452,0.012477718360071301
BRAINTUMOR,MobileNetV3,1,ABL_no_knn,True,0.9288211145809593,0.9290834685680546,0.9891949794719904,0.017738417144523514,0.0074695219879042755,0.01552059449126906,0.11109670512833916,0.8518710598288813,0.21176527766778572,0.9147922610295701,0.2528187406073309,0.8792458780642234,0.3744939740488577,0.7094044380909778,0.9307248033619803,0.0129308603239232,0.010249514375457144,0.03565768621236133,0.024955436720142603
BRAINTUMOR,MobileNetV3,1,ABL_focal,True,0.9337448653479616,0.9338314323975366,0.9925912225948703,0.039323321783498025,0.026978610711744493,0.022899751703096424,0.10105969645567746,0.8652537380590969,0.19591811553940966,0.898161630409624,0.2774374244081654,0.8736048498559397,0.3885129159890434,0.6374074564082464,0.9168865290774083,0.007669027023677443,0.005348828078034558,0.029318541996830427,0.0106951871657754
BRAINTUMOR,MobileNetV3,1,TAU_0.60,True,0.9344867051105729,0.9346528639419974,0.9924946987855652,0.03587575414579504,0.019810000367275392,0.020577665423621196,0.1010108898605853,0.8653188135192198,0.19252831650319657,0.9045877085477051,0.25223826731900667,0.8790132860507154,0.3082911959877918,0.6498268618807447,0.9226737839217716,0.007711312202773122,0.005440524325347183,0.03248811410459588,0.011586452762923352
BRAINTUMOR,MobileNetV3,1,TAU_0.70,True,0.9337883810882265,0.9339537365351468,0.9925107794286365,0.035366614721105645,0.020258494205868935,0.020499850342587805,0.10098965427555057,0.8653471276325995,0.19219759244537107,0.9050619968350122,0.2508404925935456,0.8793694478195,0.3082911959877918,0.6492785372183063,0.9234299458067237,0.007720043606056933,0.005399844660414048,0.03248811410459588,0.011586452762923352
BRAINTUMOR,MobileNetV3,1,TAU_0.80,True,0.9337883810882265,0.9339537365351468,0.9924752552950615,0.035635602265490146,0.02027138539868023,0.020013108151414633,0.10092155956381962,0.865437920581574,0.19224244733804507,0.9055007900289609,0.2492266767590418,0.8797623658619772,0.3082911959877918,0.6497569874130826,0.9238658912099331,0.007770407451788278,0.005450208506145393,0.03248811410459588,0.011586452762923352
